,0,1,2,3
0,_Cyel,https://cyel.ch/,<p>_Cyel provides WAN equipment to build software-defined networks that are fully compatible with legacy infrastructure. _Cyel leverages moving target security to take away the aim for an attacker.</p>,<p>_Cyel Gurtenbrauerei 10 3084 Wabern Bei Bern Switzerland Tel: +41 31 552 12 20</p>
1,1E,https://www.1E.com/,<p>1E provides real-time visibility and control for enterprise endpoints.</p>,<p>1E Limited CP House 97-107 Uxbridge Rod London W5 5TL United Kingdom</p>
2,2B Secure,https://www.2bsecure.co.il/,2B Secure is a security consulting firm that provides a range of value added reseller solutions in the area of information security.,"2B Secure Ltd
3 Ha’arava Street
Airport City, P.O. Box 108
Ben Gurion Airport
70150 Israel
Tel: 972 3 6492008"
3,2Keys,https://www.2keys.ca/,2Keys provides a range of managed and professional services with emphasis on user authentication and identity attributes,"20 Eglinton Ave. West 
Suite 1500 
Toronto, ON – M4R 1K8 
(416) 948-6155"
4,2|sec,https://www.2-sec.com/,2-sec provides a range of security consulting offers including penetration testing and PCI DSS services.,"2-sec Limited
5th Floor, Tower 42
25 Old Broad St
London
EC2N 1HN
UK
Tel: +44(0)207 877 0060"
5,360 Cyber Secure,http://www.360cybersecure.com/,"360 Cyber Secure provides a range of cyber security consulting, including risk assessment services.","360CyberSecure
4545 Bissonnet St., Suite 287
Bellaire, Texas 77401
Tel: (713) 230 - 8448
info@360cybersecure.com"
6,360 Security Group,http://www.360sec.com/,360 Security Group provides new-generation security products and security services for the government and enterprises.,"Calle 98 #70-91 Office 616
Centro Empresarial Pontevdra
Bogotá, Colombia
Tel: (57) 1 745 64 16"
7,4Discovery,http://www.4discovery.com/,"4Discovery provides a range of digital forensics services including mobile forensics, remote forensic collection, computer analysis, and reporting.","4Discovery
215 N. Green Street
Chicago IL 	60607
Tel: (312) 924 – 5761"
8,Constella Intelligence,https://constellaintelligence.com/,"<p>(4iQ and Alto Analytics merged in 4Q20 to form Constella Intelligence.) The company monitors thousands of dark web sites, hacktivism forums, and black markets daily for stolen credentials, leaked personal information, and confidential documents.</p>","<p>Constella Intelligence 289 South San Antonio Road, Suite 110 Los Altos, California 94022</p>"
9,QBS Software,https://www.qbstechnology.com/,QBS Software (acquirer of 4SEC) now supports value added resale and system integration services in cyber security with emphasis on compliance and cloud security.,"4SEC Group
Centaur House
Ancells Road
FLEET
GU51 2UJ"
10,4Secure,https://www.4-secure.com/,4Secure provides security consulting and training services to corporate and public sector clients across Europe. The company also provides a hardware data erasure tool.,"4Secure
P.O. Box 556
Moulton Park Industrial Estate, Northampton
Northamptonshire, NN3 6UN
United Kingdom
Tel: 0800 043 0101"
11,5nine,https://www.acronis.com/en-us/products/cloud-manager/,<p>5nine provides a range of Microsoft cloud and virtualization management and security applications.</p><p><br></p><p>Acquired by Acronis Dec-2019</p>,"<p>5nine Software Inc. 1555 Palm Beach Lakes Blvd. Suite 750 West Palm Beach, Fl 33401 Tel: (561) 898 - 1100</p>"
12,6Scan,https://www.6scan.com/,<p>6Scan provides automated vulnerability detection and mitigation of malware on Websites.</p>,"<p>Six Scan LTD Ha-Khashmona’im Street, Suite 100 Tel Aviv, 65785 Israel</p>"
13,LOCH TECHNOLOGIES (802 Secure),https://loch.io,<p>802 Secure provides wireless security through solutions that combine software defined radios with Big Data analytics.</p><p><br></p><p>Rebranded Nov-2020</p>,"<p>802 Secure 1285 66th St Emeryville, CA 94608 Tel: (888) 725 – 9434</p>"
14,9STAR,https://www.9starinc.com/,"9Star offers software solutions for secure, federated single sign-on (SSO) access to enterprise and cloud applications.","9Star
3801 N Capital of Texas Highway
Austin, Texas 78746
Tel: (888) 999 – 8934"
15,A10 Networks,https://www.a10networks.com/,A10 Networks provides a range of network acceleration and application support products including security and DMZ optimization.,"A10 Networks
3 West Plumeria Drive
San Jose, California 95134
Tel: (408) 325 – 8668"
16,A3sec,https://www.a3sec.com/,A3Sec provides a range of managed IT security solutions and professional services including security information event management (SIEM) capabilities from AlienVault.,"A3Sec
C/  Aravaca,
6 2° Piso Derecha
28040 Madrid, Espana
Tel: +34 915330978"
17,Absio,https://www.absio.com/,"Absio provides a data security solution that allows organizations and private users to securely store and share email messages and data externally, while maintaining control of its use.","Absio Corporation
8740 Lucent Boulevard
Suite 101
Highlands Ranch, Colorado 80129
Tel: 720) 836 – 1222"
18,Absolute,https://www.absolute.com/,"<p>Absolute provides persistent endpoint security and management solutions for computers, portable devices, and data.</p>","<p>Absolute Software 1400-1055 Dunsmuir Street PO Box 49211 Vancouver, British Columbia V7X 1K8 Canada</p>"
19,Abusix,https://www.abusix.com/,"Abusix provides a range of Internet security, abuse handling, anti-Spam, and anti-fraud capabilities for ISPs and Internet companies.","Abusix
One Boston Place, Suite 2600
Boston, Massachusetts 02108"
20,Acalvio,https://www.acalvio.com/,"Acalvio uses virtualization to create a deceptive network for Advanced Threat Detection. Acalvio's patented solution, ShadowPlex is focused at Timely Detection, High Precision Detection and Cost Effective Detection.","Acalvio
2520 Mission College Boulevard, Suite 110
Santa Clara, California 95054
Tel: (408) 913 – 6160"
21,Accenture,https://www.accenture.com/,"Accenture provides global professional services, consulting, and outsourced services, including cyber security.","Accenture
1345 Avenue of the Americas
New York, New York 10105

Accenture Global Headquarters
Dublin, Ireland"
22,Accellion,https://www.accellion.com/,Accellion supports secure cloud-based mobile file sharing and collaboration for teams and enterprise organizations.,"Accellion Corporate Headquarters
1804 Embarcadero Road
Suite 200
Palo Alto, California 94303
Tel: (650) 485 – 4300"
23,AccessData,https://www.accessdata.com/,<p>AccessData provides a suite data forensics products and services for cyber security and related purposes including eDiscovery.</p><p><br></p><p>Acquired by Exterro Dec-2020</p>,"<p>AccessData 588 West 400 South Suite 350 Lindon, Utah 84042 Tel: (801) 377 – 5410</p>"
24,AccessIT Group,https://www.accessitgroup.com/,AccessIT provides IT security and infrastructure solutions for customers through VAR partnerships with major technology providers.,"AccessIT Group – Corporate Office
2000 Valley Forge Circle
Suite 106
King of Prussia, Pennsylvania 19406
Tel: (610) 783 – 5200"
25,Accume Partners,https://www.accumepartners.com/,"Accume Partners provides risk, regulatory, audit and control support, including cyber security and privacy solutions, for the enterprise.","12 East 49th Street - 5th Floor, 
New York NY 10017"
26,Clearspeed,https://www.clearspeed.com/,Clearspeed (formerly AC Global Risk) voice analytics technology provides unique risk alerts based on an individual's vocal responses.,"Clearspeed
Napa, California 94558
Tel: 650-268-9907
info@clearspeed.com"
27,ACL,https://www.wegalvanize.com/rebrand,"<p>ACL provides products and services focused on governance, risk, and compliance (GRC), enterprise compliance monitoring, and data analysis.</p><p><br></p><p>Acquires RSAM and rebrands as Galvanize Feb-2019</p>","<p>ACL Head Office ACL Services, Ltd. Suite 1500, 980 Howe Street Vancouver, BC Canada V6Z 0C8 Tel: (604) 669 – 4225</p>"
28,ACPL,https://www.acpl.com/,"ACPL provides value added reseller (VAR), professional services, managed services, and methodologies for business risk and security management.","ACPL Systems Pvt. Ltd. 
333 -334 , 3rd Floor
Tower A, Spaze iTech Park
Sector 49, Sohna Road
Gurgaon - 122002, India"
29,ACROS Security,https://www.acrossecurity.com/,"<p>ACROS Security is a Slovenian provider of penetration testing and related information security, application assessment, and research services.</p>","<p>ACROS, d.o.o. Makedonska ulica 113 SI-2000 Maribor Slovenia Tel: +386 2 3000 280 security@acrosssecurity.com</p>"
30,Acuity,https://acuitysecurity.net/,"Acuity provides a range of security services including data and network protection, as well as cyber blackmail and communication security.",
31,Acumin,https://www.acumin.co.uk/,Acumin provides executive search and technical recruiting services for cyber security positions.,"Acumin Consulting Ltd.
Octavia House
50 Banner Street
London, EC1Y 8ST
Tel: +44 (0)20 7987 3838"
